,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,MILEAGE_KM,MANUFACTURED_YEAR,TRANSMISSION,OMV,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
2261,11,495800.0,86690.0,39500.0,2014,0,245802.0,74501.0,1192.0,3855.0,1770.0,3.0,5
2262,3,208888.0,24650.0,23152.0,2014,0,93331.0,49012.0,2042.0,2979.0,1615.0,1.0,5
2263,2,62800.0,13280.0,80000.0,2016,0,22566.0,47020.0,1527.0,1395.0,1310.0,2.0,1
2264,3,101800.0,14510.0,45000.0,2017,0,33947.0,57501.0,2100.0,1499.0,1425.0,2.0,1
2266,3,418888.0,37380.0,17000.0,2020,0,125504.0,40790.0,3108.0,4395.0,1970.0,1.0,5
2268,49,28800.0,15810.0,127000.0,2012,0,21902.0,62999.0,459.0,1390.0,1536.0,3.0,2
2269,32,40888.0,9120.0,86102.0,2016,0,13800.0,46009.0,1524.0,1193.0,940.0,1.0,3
2271,3,202998.0,21820.0,24388.0,2019,0,58919.0,40512.0,2737.0,1998.0,1735.0,2.0,5
2272,20,48600.0,6780.0,241000.0,2009,0,14114.0,26175.0,2593.0,1591.0,1251.0,1.0,3
2273,48,51500.0,8960.0,178000.0,2007,0,28624.0,50168.0,2073.0,2362.0,1750.0,5.0,2
2274,31,210333.0,20960.0,13000.0,2018,0,49129.0,40790.0,3108.0,1991.0,1735.0,1.0,4
2277,3,80800.0,8210.0,102000.0,2011,0,28085.0,50570.0,3564.0,1598.0,1310.0,3.0,0
2278,19,80888.0,12790.0,67479.0,2017,0,25682.0,55414.0,1887.0,1368.0,1395.0,3.0,4
2280,16,52800.0,10710.0,132000.0,2016,0,17294.0,46009.0,1493.0,1591.0,1345.0,1.0,3
2281,3,123800.0,12800.0,123000.0,2012,0,52111.0,60586.0,3504.0,1997.0,1725.0,2.0,6
2283,38,278888.0,28840.0,76000.0,2010,0,108132.0,60586.0,3504.0,3614.0,1505.0,3.0,5
2289,31,84000.0,31780.0,81000.0,2013,0,45943.0,83000.0,635.0,1991.0,1655.0,2.0,1
2290,46,49300.0,8560.0,183300.0,2007,0,10742.0,42698.0,2097.0,1597.0,1280.0,6.0,3
2296,16,106888.0,10960.0,11823.0,2021,0,21609.0,47010.0,3405.0,1598.0,1280.0,1.0,3
2300,48,66500.0,8500.0,117218.0,2008,0,32062.0,39313.0,2830.0,2499.0,1500.0,2.0,1
2302,3,111888.0,24240.0,92556.0,2014,0,56601.0,78004.0,1164.0,1997.0,1470.0,2.0,5
2306,31,149800.0,19040.0,68585.0,2016,0,48722.0,39000.0,2280.0,1991.0,1605.0,1.0,1
2314,27,500000.0,48500.0,24000.0,2019,0,119610.0,35889.0,3044.0,3798.0,2245.0,1.0,4
2315,46,180888.0,23910.0,60000.0,2018,1,33076.0,31302.0,2462.0,2457.0,1617.0,1.0,5
2316,48,65800.0,15040.0,87000.0,2014,0,32131.0,78001.0,1126.0,2362.0,1790.0,3.0,2
2318,3,84800.0,15370.0,77000.0,2016,0,29860.0,56956.0,1647.0,1499.0,1425.0,2.0,1
2319,29,130500.0,17470.0,46000.0,2018,0,33331.0,31000.0,2318.0,2488.0,1898.0,2.0,4
2321,3,136000.0,20310.0,33255.0,2017,0,41713.0,49189.0,2011.0,1998.0,1540.0,1.0,1
2323,2,54800.0,12280.0,68255.0,2016,0,21139.0,47889.0,1529.0,999.0,1165.0,1.0,0
2325,3,112800.0,11660.0,121000.0,2011,0,48301.0,60586.0,3504.0,1997.0,1620.0,3.0,1
2326,22,248000.0,71590.0,45000.0,2013,0,150332.0,73010.0,641.0,4999.0,2397.0,2.0,4
2327,14,12490.0,9010.0,143000.0,2008,0,17699.0,18444.0,494.0,1799.0,1350.0,2.0,2
2328,48,53888.0,10420.0,85460.0,2016,0,16800.0,52301.0,1580.0,1598.0,1205.0,1.0,3
2329,49,115000.0,14090.0,30000.0,2019,0,26039.0,39401.0,2588.0,1395.0,1288.0,1.0,2
2330,2,39000.0,16020.0,88900.0,2013,0,39161.0,67010.0,401.0,1984.0,1565.0,2.0,1
2332,2,86800.0,14090.0,76000.0,2017,0,26191.0,42900.0,1983.0,999.0,1315.0,1.0,4
2335,31,190000.0,28740.0,138000.0,2017,0,54323.0,49802.0,1947.0,1991.0,1555.0,1.0,5
2337,20,66300.0,9700.0,42100.0,2017,0,11547.0,38510.0,2255.0,1591.0,1295.0,1.0,3
2339,29,58800.0,12990.0,80000.0,2015,0,22140.0,60789.0,1314.0,1998.0,1528.0,2.0,4
2340,14,26500.0,11370.0,110855.0,2009,0,31153.0,21504.0,828.0,2354.0,1680.0,1.0,2
2341,3,70800.0,21270.0,113000.0,2014,0,38337.0,69001.0,885.0,1997.0,1365.0,1.0,5
2342,46,78888.0,13770.0,83000.0,2017,0,17931.0,53300.0,1833.0,1998.0,1682.0,2.0,4
2344,34,66800.0,8620.0,50000.0,2019,0,13467.0,32725.0,2708.0,1198.0,1048.0,1.0,0
