,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
78,https://www.sgcarmart.com/used_cars/info.php?ID=1069212&DL=3476,BMW,183688,16050,28-Jan-2022,200,2021,684,Auto,101302,02/03/2022,40893,49251,83889,3290,1499,1435,1,SUV
79,https://www.sgcarmart.com/used_cars/info.php?ID=1055766&DL=3588,Volkswagen,47800,10000,12-Dec-2011,,2011,682,Auto,24177,02/03/2022,25788,25788,25285,1739,1390,1285,4,Sports Car
80,https://www.sgcarmart.com/used_cars/info.php?ID=1003395&DL=2976,Toyota,64800,,05-Jun-2018,51200,2018,,Manual,17644,02/03/2022,,27084,28172,2282,2982,1760,1,Truck
81,https://www.sgcarmart.com/used_cars/info.php?ID=1074856&DL=1441,Mercedes-Benz,36800,8660,12-Jul-2006,163000,2006,1461,Auto,19567,02/03/2022,52792,58072,46048,1529,1796,1530,1,Luxury Sedan
82,https://www.sgcarmart.com/used_cars/info.php?ID=1070378&DL=1000,Pontiac,168000,20880,18-Mar-2020,,1982,280,Auto,,02/03/2022,23794,25312,3542,2925,5001,1406,1,Sports Car
83,https://www.sgcarmart.com/used_cars/info.php?ID=1062996&DL=3975,Land,335800,33150,30-Nov-2020,7500,"
SUV ",2382,2020,102663,02/03/2022,,,39000,3167,2996,2361,1,
84,https://www.sgcarmart.com/used_cars/info.php?ID=1075991&DL=1000,Honda,73800,9630,15-Jul-2019,15000,2019,78,Auto,25299,02/03/2022,15628,5628,28589,2677,1317,1030,1,Hatchback
85,https://www.sgcarmart.com/used_cars/info.php?ID=1042635&DL=4058,Volkswagen,72800,7270,01-Dec-2011,,2011,682,Auto,,02/03/2022,25303,25303,,0,1390,1285,3,Sports Car
86,https://www.sgcarmart.com/used_cars/info.php?ID=1072809&DL=3156,Opel,109800,,17-Feb-2022,,2022,,Auto,22365,02/03/2022,,47472,22439,3319,,2120,1,Van
87,https://www.sgcarmart.com/used_cars/info.php?ID=1044348&DL=3738,Mercedes-Benz,130500,19980,03-May-2017,76000,"
Luxury Sedan ",1734,2016,65769,02/03/2022,,,48209,1885,1950,1700,1,
88,https://www.sgcarmart.com/used_cars/info.php?ID=1059388&DL=2538,BMW,295800,36020,19-Jan-2018,59000,2017,4568,Auto,150827,02/03/2022,108682,167628,42661,1831,4395,2275,1,SUV
89,https://www.sgcarmart.com/used_cars/info.php?ID=1023924&DL=3403,Toyota,176800,20150,21-May-2019,20200,2018,1792,Auto,81641,02/03/2022,50347,62625,48010,2623,2493,2030,1,MPV
90,https://www.sgcarmart.com/used_cars/info.php?ID=1011743&DL=1188,Porsche,393800,39850,28-Feb-2020,31097,2019,2380,Auto,141431,02/03/2022,98993,150188,36000,2590,2995,2030,1,SUV
91,https://www.sgcarmart.com/used_cars/info.php?ID=1066592&DL=2282,Mercedes-Benz,173800,17370,18-Jan-2021,10500,2020,586,Auto,62710,02/03/2022,33545,38963,37690,2925,1332,1410,1,Luxury Sedan
92,https://www.sgcarmart.com/used_cars/info.php?ID=1061048&DL=3074,MINI,59800,14240,31-Dec-2015,70660,2015,508,Auto,28632,02/03/2022,20317,10444,56989,1373,1198,1175,2,Hatchback
